0,2
5.1,2
10.2,2
15.3,2
20.4,6
25.5,1
30.6,8
35.7,4
40.8,4
45.9,1
51,2
56.1,7
61.2,1
66.3,7
71.4,1
76.5,1
81.6,8
86.7,3
91.8,1
96.9,8
102,4
107.1,6
112.2,6
117.3,3
122.4001,3
127.5001,5
132.6001,1
137.7001,1
142.8001,5
147.9001,4
153.0001,5
158.1001,3
163.2001,7
168.3001,3
173.4001,3
178.5001,6
183.6001,7
188.7001,5
193.8001,6
198.9001,8
204.0002,6
209.1002,7
214.2002,2
219.3002,2
224.4002,3
229.5002,6
234.6002,2
239.7002,4
244.8002,4
249.9002,5
255.0002,2
260.1002,5
265.2002,5
270.3001,8
275.4001,6
280.5001,5
285.6001,1
290.7,3
295.8,8
300.9,8
306,8
311.0999,4
316.1999,3
321.2999,7
326.3999,7
331.4998,4
336.5998,2
341.6998,6
346.7998,7
351.8997,5
356.9997,8
362.0997,3
367.1997,8
372.2997,7
377.3996,4
382.4996,6
387.5996,5
392.6996,7
397.7995,4
402.8995,1
