0,2
5.1,2
10.2,2
15.3,6
20.4,3
25.5,3
30.6,4
35.7,5
40.8,6
45.9,4
51,4
56.1,3
61.2,5
66.3,1
71.4,5
76.5,1
81.6,7
86.7,7
91.8,4
96.9,2
102,7
107.1,3
112.2,1
117.3,3
122.4001,1
127.5001,2
132.6001,2
137.7001,8
142.8001,2
147.9001,3
153.0001,7
158.1001,4
163.2001,3
168.3001,1
173.4001,4
178.5001,8
183.6001,3
188.7001,8
193.8001,6
198.9001,6
204.0002,6
209.1002,7
214.2002,1
219.3002,3
224.4002,8
229.5002,7
234.6002,1
239.7002,4
244.8002,6
249.9002,4
255.0002,5
260.1002,6
265.2002,1
270.3001,7
275.4001,6
280.5001,8
285.6001,5
290.7,2
295.8,1
300.9,8
306,8
311.0999,5
316.1999,5
321.2999,6
326.3999,5
331.4998,5
336.5998,8
341.6998,2
346.7998,8
351.8997,4
356.9997,7
362.0997,2
367.1997,6
372.2997,4
377.3996,7
382.4996,8
387.5996,3
392.6996,5
397.7995,7
402.8995,1
