0,8
5.1,8
10.2,8
15.3,8
20.4,3
25.5,2
30.6,2
35.7,7
40.8,5
45.9,6
51,3
56.1,6
61.2,3
66.3,1
71.4,8
76.5,6
81.6,2
86.7,1
91.8,5
96.9,5
102,8
107.1,3
112.2,4
117.3,6
122.4001,1
127.5001,4
132.6001,3
137.7001,4
142.8001,4
147.9001,1
153.0001,1
158.1001,3
163.2001,6
168.3001,1
173.4001,3
178.5001,4
183.6001,5
188.7001,7
193.8001,3
198.9001,6
204.0002,1
209.1002,4
214.2002,7
219.3002,8
224.4002,2
229.5002,6
234.6002,7
239.7002,2
244.8002,7
249.9002,1
255.0002,3
260.1002,8
265.2002,4
270.3001,6
275.4001,2
280.5001,8
285.6001,7
290.7,8
295.8,2
300.9,5
306,4
311.0999,5
316.1999,2
321.2999,7
326.3999,6
331.4998,5
336.5998,2
341.6998,7
346.7998,4
351.8997,3
356.9997,4
362.0997,6
367.1997,5
372.2997,7
377.3996,1
382.4996,7
387.5996,2
392.6996,5
397.7995,1
402.8995,5
