0,6
5.1,6
10.2,6
15.3,2
20.4,8
25.5,3
30.6,1
35.7,2
40.8,2
45.9,5
51,5
56.1,1
61.2,4
66.3,5
71.4,7
76.5,3
81.6,4
86.7,2
91.8,3
96.9,3
102,8
107.1,3
112.2,5
117.3,1
122.4001,3
127.5001,6
132.6001,6
137.7001,6
142.8001,8
147.9001,1
153.0001,8
158.1001,1
163.2001,5
168.3001,7
173.4001,5
178.5001,6
183.6001,7
188.7001,8
193.8001,8
198.9001,4
204.0002,4
209.1002,4
214.2002,8
219.3002,7
224.4002,4
229.5002,7
234.6002,2
239.7002,1
244.8002,5
249.9002,7
255.0002,2
260.1002,1
265.2002,1
270.3001,3
275.4001,4
280.5001,7
285.6001,1
290.7,8
295.8,3
300.9,2
306,5
311.0999,7
316.1999,6
321.2999,4
326.3999,5
331.4998,2
336.5998,6
341.6998,4
346.7998,4
351.8997,1
356.9997,8
362.0997,6
367.1997,5
372.2997,3
377.3996,2
382.4996,7
387.5996,7
392.6996,2
397.7995,8
402.8995,3
